"id","naptime","total_sleep","midpoint_sleep","bedtime_mssd","cum_gpa","term_gpa"
185,24.16,432.2,458.66,0.116726948,3,3.38
158,13.13793103,391.9310345,364.4655172,0.141680839,3.66,2.6
209,14.95652174,344.3043478,560.8913043,1.529289486,3.57,3.07
102,54.55172414,392.6206897,416.4827586,0.130148455,3.61,3.56
174,10.52631579,423.4210526,368.7631579,0.130180898,3.21,4
184,22.36,397.4,353.58,0.209483025,3.2,3.36
255,20.51851852,348.5925926,434.7037037,0.675488988,3.4,3.19
265,17.03703704,422.1111111,414.8333333,0.129621959,3.86,3.28
343,52.67857143,454.3214286,423.8214286,1.476978738,3.79,3.5
137,85.48275862,308.9655172,334.7931034,0.085000354,3.53,2.55
279,21.4137931,314.5862069,479.362069,0.168517574,3.61,3.49
220,2.269230769,382.1923077,463.5769231,0.064827556,3.82,3.76
337,14.55172414,389.7241379,447.862069,0.089355867,3.33,3.74
323,27.55172414,365.7241379,519.4655172,0.224089073,4,4
216,34.06896552,360,372.137931,0.141067177,3.16,3.56
125,10.24137931,366.7586207,431.6724138,0.246896613,3,3.2
211,9.379310345,292.1034483,424.0344828,0.235034014,3.77,2.78
316,23.13043478,446.1304348,383.1956522,0.176744146,3.71,2.83
178,42.90909091,371.7272727,451.0454545,2.043044444,3.82,3.78
153,12.24137931,439.5517241,366.137931,0.039771117,3.1,3.3
130,6.103448276,359.1724138,330.3275862,0.060847151,4,3.44
303,20.20689655,384.8275862,341,0.104683603,3.17,3.05
160,25.03571429,372.25,383.2142857,0.062372733,4,3.82
295,10.91666667,402.4166667,349.25,0.406257089,3.47,3
353,22.13793103,360.862069,452.637931,0.060779478,3.62,3.81
172,23.79310345,443.137931,437.862069,0.052766794,2.91,2.61
190,28.04,375.8,400.64,0.272011478,3.79,3.17
197,20.73913043,335.9565217,494.1304348,0.777560262,1.57,2.67
222,16.25925926,367.4444444,405.8148148,0.161198225,3.5,3.4
181,12.11538462,408.1153846,328.0192308,0.093037333,4,4
198,106.4482759,371.2758621,321.6034483,0.152839073,3.3,2.94
299,9,300.375,469.6875,1.720101235,3.28,1.7
142,23.65517241,373.1724138,467.9655172,0.09644487,4,3.81
163,52.65517241,429.862069,437.8275862,0.252287769,3.52,3.46
236,30.76,391.32,410.76,0.190095486,3.29,3.51
247,28.16666667,365.9166667,501.1041667,0.292408633,3.72,3.81
261,21.95454545,342.4545455,468.6136364,0.19883031,3.76,3.8
301,31.89655172,293.4827586,395.2068966,0.093117205,4,3.77
129,18.65517241,411.3103448,373.1206897,0.090083617,4,3.4
133,22.03846154,477.9230769,370.3461538,0.646693778,3.48,3.83
179,18.96551724,447.6551724,448.3448276,0.090260417,3.07,2.43
201,22.10714286,444.2857143,318.3928571,0.21185109,3.71,3.79
254,13.79310345,443.3793103,367.2068966,0.040935374,3.8,4
308,11.42307692,401.0769231,420.6923077,0.109464444,3.74,3.39
258,14.75,412.5357143,361.0714286,0.129549992,3.76,3.55
281,14.09090909,442.0909091,580.1818182,3.641583333,3.46,3.5
145,39,406.52,358.1,0.087405961,3.72,3.06
167,14.26923077,445.9230769,322.0961538,0.152065333,4,4
168,5.862068966,406.2758621,473,0.057516652,3.23,3.59
223,46.5,421.5,687.5,1.775785667,3.2,1.69
233,18.11764706,362.9411765,496.5882353,0.26249783,2.62,2.46
304,50.57142857,362.3928571,440.6785714,0.102636412,3,3.41
123,13.4137931,439.862069,321.6724138,0.02063244,3.46,4
189,14.20689655,379.4827586,423.4137931,0.207263322,4,3.56
191,23.83333333,377.8333333,395.6666667,0.094479101,4,4
215,11.65517241,424.7241379,346.8103448,0.030682752,3.79,4
291,25.39130435,433.3043478,460.1304348,0.253243802,1.21,2.32
208,37.07142857,382.4642857,539.5535714,0.427612026,2.65,3.53
326,29.52941176,399.4705882,560.5882353,1.93218099,1.94,1.79
332,23.83333333,359.5,444.1875,0.355330813,3.4,3.69
234,29.53846154,303.4230769,545.5576923,0.961935111,1.91,2.98
104,49.43478261,377.5652174,439.3478261,0.142523531,3.21,3.3
173,10.59259259,400.1851852,344.2037037,0.036193294,2.93,3.06
241,39.86956522,393.5217391,376.1304348,0.242782369,3.81,3.6
349,18.625,430.75,351.0625,0.107001134,3.44,3.61
357,22.73076923,397.8846154,407.8076923,0.234693778,4,4
152,55.72727273,398.3636364,347.0454545,0.173497222,3.98,4
196,20.96428571,456.4642857,316.7678571,0.10685833,3.79,3.18
204,66.36842105,393.5789474,349.1578947,1.873413066,2.15,2.76
289,60.61904762,400.7142857,526.5238095,0.296888889,2.76,3.23
109,8.862068966,422.8275862,415.7068966,0.068976757,3.09,2.6
176,32.76,418.44,381.1,0.116625193,2.5,2.33
214,23.21428571,477.4285714,346.0535714,0.24006592,4,4
218,9.714285714,442.1071429,424.3392857,0.102371971,4,4
278,162.6666667,266.8333333,514,0.772059229,2.98,3.56
305,15.28571429,361.4285714,430.9107143,0.100925926,3.52,3.26
306,37.79310345,330.4827586,439.7758621,0.433917942,3.56,2.98
116,23.84615385,389.3846154,440.9615385,1.178951556,2.82,3.2
120,22.28571429,445.6071429,316.5178571,0.151092059,3.8,4
147,67.46666667,394.8666667,339.3333333,0.32468254,4,4
164,31.82142857,387.9285714,421.1964286,0.016258192,3.26,3.04
171,17.76,414.72,496.16,0.078486208,3.77,3.25
175,17.76923077,307.3461538,295.5384615,0.213579556,3.4,3.6
183,24.5862069,437.6206897,472.9655172,0.034796981,3.41,3.19
249,17.07142857,394.1428571,539.4821429,0.321985597,3.61,3.38
310,7.6,398.5,379.6,0.178527239,3.35,3.38
356,11.875,303.75,431.0625,0.156791383,3.22,1.38
200,30.60869565,463.9130435,366,0.436563935,3.71,3.77
280,37.5,352.8125,435.71875,0.191501235,2.33,3.5
194,27.76190476,370.5238095,451.6904762,0.110142361,3.76,3.38
311,38.21428571,378.25,460.7321429,0.173333714,3.21,2.49
346,19.89473684,361.4736842,395.7631579,0.084680213,3.74,3.48
347,31.89655172,445.5862069,313.4482759,0.094963152,3.74,3.74
134,22.33333333,430.0833333,497.0416667,0.32337236,3.79,3.41
313,21.65384615,378.0769231,497,0.271192444,3.29,2.47
334,13.77272727,388.8181818,493.1363636,0.171095994,3.21,2.6
338,47.92857143,388.6428571,442.9642857,0.860001644,3.29,2.87
309,48.03703704,438.6296296,552.2777778,0.098627959,2.57,2.4
148,21.66666667,324.6296296,371.3333333,0.422895299,2,2.8
180,15.75862069,574.3448276,353.7758621,0.031395621,3.49,3.6
202,61.34482759,300.3793103,465.4137931,0.173230938,1.95,3
229,28.41666667,367.7916667,560.125,0.292521529,3,3.75
266,33.89655172,360.6896552,419.7068966,0.165656888,3.07,2.4
284,26.28,383.32,531.98,0.706547068,3,3.6
287,21.48148148,398.9259259,442.3518519,0.226937459,3.39,3.6
288,24.85185185,460.5185185,324.5185185,0.170893327,3.57,2.6
292,14.41176471,349.3529412,473.9411765,0.245657552,3.39,3.8
302,34.80769231,326.5,369.2692308,0.134572889,3.25,3.4
307,17.39285714,399.8928571,358.8035714,0.15196464,2.67,3.13
333,23.08695652,360.6086957,419.0869565,0.137169995,3.79,4
144,17.79310345,431.2758621,352.362069,0.10466447,3.05,2.73
264,26.13636364,411.8636364,406.2727273,0.340234316,2.91,3.4
322,40.92857143,421.8928571,424.8214286,0.196002896,2.9,3.36
329,31.71428571,465.9285714,592.5535714,0.235472108,2.84,3.12
149,10.52173913,402.6521739,365.1956522,0.167170569,2.49,2.77
240,20.20689655,370.4482759,404.9310345,0.055016652,3.8,3.22
276,11.29166667,338.2916667,362.7916667,0.1557908,3.43,3.21
157,21.2962963,428.6296296,323.7777778,0.071669543,2.44,3.07
119,15.34482759,465.4482759,315.3275862,0.075134283,2.7,1.97
136,13.96551724,414.0689655,432.5,0.079280045,3.23,3.49
224,21.67857143,345.8928571,414.0714286,0.077541914,4,4
300,41.93103448,413.3793103,386.7068966,0.251342474,2.96,3.28
242,17.68965517,413.6206897,420.4310345,0.044951814,3.49,3.54
282,44.62068966,416.7241379,384.2413793,0.147337372,2.93,3.57
341,5.074074074,351.6296296,408.0555556,0.130785256,3.5,3.51
124,30.52173913,444.9130435,347.3913043,0.075138315,4,4
312,33.88,375.08,461.54,0.222430073,3.47,3.29
297,72.66666667,335.8571429,610.6666667,1.383386111,3.27,3.03
110,23.31034483,392.2413793,387.0862069,0.150463081,4,4
166,47.06896552,357.0344828,446.7241379,0.064726474,2,1.5
170,22.08333333,348.0833333,430.3958333,0.493485612,2.6,3.08
538,23.39285714,402.9642857,294.8035714,0.032421125,3.552758621,3.27
518,60.6,296.95,466.825,0.646986765,4,4
653,64.95652174,313.8695652,402.0217391,0.185261134,2.98,3.28
2,64.5,587.6666667,380.3333333,0.422244444,3.321428036,3.833333
6,39.38461538,406.8846154,358.8653846,0.138198222,3.426666267,3.476923
19,27.33333333,411.2666667,349.5333333,0.09267432,3.265517103,3.1
32,39.57142857,405.2142857,363.25,0.062150968,3.17999955,3.5
33,75.60714286,396.5,410.7678571,0.110143652,2.566666,2.992307
34,24.26666667,389,300.4666667,0.206592971,3.740740481,3.478571
37,8.642857143,434,343.3214286,0.048181299,3.6999995,3.192857
42,25.96428571,425.4642857,334.0535714,0.095797516,3.799999864,3.95
43,13.10714286,394.8928571,362.7142857,0.041141213,3.6999995,3.866666
44,31.29166667,469.5,473.8958333,0.397048414,3.126470529,2.728571
50,68.55555556,412.5555556,323.7962963,0.077292899,3.599999619,3.435714
78,34.51851852,408.5555556,397.1666667,0.061395464,3.499999667,3.466666
80,43.33333333,430.037037,436.7407407,0.051161243,3.65,3.527777
82,21.67857143,398.5,343.8392857,0.024217345,3.796551103,3.666666
