"id","race","gender","firstgen","total_sleep","university","cum_gpa","term_gpa","midpoint_sleep","naptime"
185,"Not Underrepresented","Female","Not First-Gen",432.2,"Carnegie Mellon University SP 2017",3,3.38,458.66,24.16
158,"Underrepresented","Female","Not First-Gen",391.9310345,"Carnegie Mellon University SP 2017",3.66,2.6,364.4655172,13.13793103
209,"Not Underrepresented","Female","Not First-Gen",344.3043478,"Carnegie Mellon University SP 2017",3.57,3.07,560.8913043,14.95652174
102,"Underrepresented","Female","First-Gen",392.6206897,"Carnegie Mellon University SP 2017",3.61,3.56,416.4827586,54.55172414
174,"Not Underrepresented","Female","Not First-Gen",423.4210526,"Carnegie Mellon University SP 2017",3.21,4,368.7631579,10.52631579
184,"Not Underrepresented","Female","Not First-Gen",397.4,"Carnegie Mellon University SP 2017",3.2,3.36,353.58,22.36
255,"Not Underrepresented","Female","Not First-Gen",348.5925926,"Carnegie Mellon University SP 2017",3.4,3.19,434.7037037,20.51851852
265,"Not Underrepresented","Female","Not First-Gen",422.1111111,"Carnegie Mellon University SP 2017",3.86,3.28,414.8333333,17.03703704
343,"Not Underrepresented","Male","Not First-Gen",454.3214286,"Carnegie Mellon University SP 2017",3.79,3.5,423.8214286,52.67857143
137,"Not Underrepresented","Female","Not First-Gen",308.9655172,"Carnegie Mellon University SP 2017",3.53,2.55,334.7931034,85.48275862
279,"Not Underrepresented","Female","Not First-Gen",314.5862069,"Carnegie Mellon University SP 2017",3.61,3.49,479.362069,21.4137931
220,"Not Underrepresented","Female","Not First-Gen",382.1923077,"Carnegie Mellon University SP 2017",3.82,3.76,463.5769231,2.269230769
337,"Not Underrepresented","Female","Not First-Gen",389.7241379,"Carnegie Mellon University SP 2017",3.33,3.74,447.862069,14.55172414
323,"Not Underrepresented","Male","Not First-Gen",365.7241379,"Carnegie Mellon University SP 2017",4,4,519.4655172,27.55172414
216,"Not Underrepresented","Female","First-Gen",360,"Carnegie Mellon University SP 2017",3.16,3.56,372.137931,34.06896552
125,"Not Underrepresented","Male","First-Gen",366.7586207,"Carnegie Mellon University SP 2017",3,3.2,431.6724138,10.24137931
211,"Not Underrepresented","Female","Not First-Gen",292.1034483,"Carnegie Mellon University SP 2017",3.77,2.78,424.0344828,9.379310345
316,"Underrepresented","Female","Not First-Gen",446.1304348,"Carnegie Mellon University SP 2017",3.71,2.83,383.1956522,23.13043478
178,"Not Underrepresented","Male","Not First-Gen",371.7272727,"Carnegie Mellon University SP 2017",3.82,3.78,451.0454545,42.90909091
153,"Not Underrepresented","Female","First-Gen",439.5517241,"Carnegie Mellon University SP 2017",3.1,3.3,366.137931,12.24137931
130,"Not Underrepresented","Female","Not First-Gen",359.1724138,"Carnegie Mellon University SP 2017",4,3.44,330.3275862,6.103448276
303,"Not Underrepresented","Female","Not First-Gen",384.8275862,"Carnegie Mellon University SP 2017",3.17,3.05,341,20.20689655
160,"Not Underrepresented","Female","Not First-Gen",372.25,"Carnegie Mellon University SP 2017",4,3.82,383.2142857,25.03571429
295,"Not Underrepresented","Female","Not First-Gen",402.4166667,"Carnegie Mellon University SP 2017",3.47,3,349.25,10.91666667
353,"Not Underrepresented","Female","Not First-Gen",360.862069,"Carnegie Mellon University SP 2017",3.62,3.81,452.637931,22.13793103
172,"Not Underrepresented","Male","Not First-Gen",443.137931,"Carnegie Mellon University SP 2017",2.91,2.61,437.862069,23.79310345
190,"Not Underrepresented","Male","Not First-Gen",375.8,"Carnegie Mellon University SP 2017",3.79,3.17,400.64,28.04
197,"Not Underrepresented","Male","Not First-Gen",335.9565217,"Carnegie Mellon University SP 2017",1.57,2.67,494.1304348,20.73913043
181,"Not Underrepresented","Female","Not First-Gen",408.1153846,"Carnegie Mellon University SP 2017",4,4,328.0192308,12.11538462
198,"Underrepresented","Female","Not First-Gen",371.2758621,"Carnegie Mellon University SP 2017",3.3,2.94,321.6034483,106.4482759
299,"Underrepresented","Female","Not First-Gen",300.375,"Carnegie Mellon University SP 2017",3.28,1.7,469.6875,9
142,"Not Underrepresented","Male","Not First-Gen",373.1724138,"Carnegie Mellon University SP 2017",4,3.81,467.9655172,23.65517241
163,"Underrepresented","Male","Not First-Gen",429.862069,"Carnegie Mellon University SP 2017",3.52,3.46,437.8275862,52.65517241
236,"Not Underrepresented","Male","Not First-Gen",391.32,"Carnegie Mellon University SP 2017",3.29,3.51,410.76,30.76
247,"Underrepresented","Male","Not First-Gen",365.9166667,"Carnegie Mellon University SP 2017",3.72,3.81,501.1041667,28.16666667
261,"Not Underrepresented","Male","Not First-Gen",342.4545455,"Carnegie Mellon University SP 2017",3.76,3.8,468.6136364,21.95454545
301,"Not Underrepresented","Male","Not First-Gen",293.4827586,"Carnegie Mellon University SP 2017",4,3.77,395.2068966,31.89655172
129,"Not Underrepresented","Female","Not First-Gen",411.3103448,"Carnegie Mellon University SP 2017",4,3.4,373.1206897,18.65517241
133,"Not Underrepresented","Female","Not First-Gen",477.9230769,"Carnegie Mellon University SP 2017",3.48,3.83,370.3461538,22.03846154
179,"Not Underrepresented","Female","Not First-Gen",447.6551724,"Carnegie Mellon University SP 2017",3.07,2.43,448.3448276,18.96551724
201,"Underrepresented","Female","Not First-Gen",444.2857143,"Carnegie Mellon University SP 2017",3.71,3.79,318.3928571,22.10714286
254,"Not Underrepresented","Female","Not First-Gen",443.3793103,"Carnegie Mellon University SP 2017",3.8,4,367.2068966,13.79310345
308,"Not Underrepresented","Female","Not First-Gen",401.0769231,"Carnegie Mellon University SP 2017",3.74,3.39,420.6923077,11.42307692
258,"Not Underrepresented","Male","Not First-Gen",412.5357143,"Carnegie Mellon University SP 2017",3.76,3.55,361.0714286,14.75
281,"Not Underrepresented","Male","Not First-Gen",442.0909091,"Carnegie Mellon University SP 2017",3.46,3.5,580.1818182,14.09090909
145,"Not Underrepresented","Female","Not First-Gen",406.52,"Carnegie Mellon University SP 2017",3.72,3.06,358.1,39
167,"Not Underrepresented","Female","Not First-Gen",445.9230769,"Carnegie Mellon University SP 2017",4,4,322.0961538,14.26923077
168,"Not Underrepresented","Female","Not First-Gen",406.2758621,"Carnegie Mellon University SP 2017",3.23,3.59,473,5.862068966
223,"Not Underrepresented","Female","Not First-Gen",421.5,"Carnegie Mellon University SP 2017",3.2,1.69,687.5,46.5
233,"Not Underrepresented","Female","Not First-Gen",362.9411765,"Carnegie Mellon University SP 2017",2.62,2.46,496.5882353,18.11764706
304,"Not Underrepresented","Female","Not First-Gen",362.3928571,"Carnegie Mellon University SP 2017",3,3.41,440.6785714,50.57142857
